         gisjoin           tract_id City State stateabbr statedesc countyname placename                  placefips place_tractid
nbr.val       NA  1.58820000000e+04   NA    NA        NA        NA         NA        NA         15058.000000000000            NA
nbr.null      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.000000000000            NA
nbr.na        NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA           824.000000000000            NA
min           NA 5.30132487394e-315   NA    NA        NA        NA         NA        NA         15003.000000000000            NA
max           NA 2.72127342952e-313   NA    NA        NA        NA         NA        NA       5553000.000000000000            NA
range         NA 2.66826018078e-313   NA    NA        NA        NA         NA        NA       5537997.000000000000            NA
sum           NA 2.18031061219e-309   NA    NA        NA        NA         NA        NA   42233039762.000000000000            NA
median        NA 1.58115846524e-313   NA    NA        NA        NA         NA        NA       3260600.000000000000            NA
mean          NA 1.37281867029e-313   NA    NA        NA        NA         NA        NA       2804691.178244122770            NA
SE.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         13228.471679999062            NA
CI.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         25929.412409634813            NA
var           NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA 2635036507681.393554687500            NA
std.dev       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA       1623279.553152011242            NA
coef.var      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.578773009215            NA
                   access2015        arthritis2015            binge2015          bphigh2015             bpmed2015          cancer2015
SE.mean       0.0721491949984     0.0207661392704      0.0666231451566      0.0588258640331      0.0503647551768      0.108273341971
CI.mean       0.1414208243884     0.0407040502899      0.1305891499969      0.1153055718737      0.0987207829469      0.212228354017
var          81.0028841399890     6.7125657207116     68.8877466631086     53.6824615978975     39.4848489075929    182.482032707878
std.dev       9.0001602285731     2.5908619648124      8.2998642557037      7.3268316206869      6.2836970731881     13.508591070422
coef.var      0.1479224779679     0.4135500274245      0.2722103106107      0.2531276833237      0.3422862562690      0.225634044113
                 diabetes2017         highchol2017           kidney2017              lpa2017            mhlth2017          obesity2017
nbr.val   15566.0000000000000  15566.0000000000000 15566.00000000000000  15566.0000000000000  15566.0000000000000  15566.0000000000000
nbr.null      0.0000000000000      0.0000000000000     0.00000000000000      0.0000000000000      0.0000000000000      0.0000000000000
nbr.na      316.0000000000000    316.0000000000000   316.00000000000000    316.0000000000000    316.0000000000000    316.0000000000000
min           0.8999999761581      7.5000000000000     0.69999998807907      8.3999996185303      5.8000001907349      9.6000003814697
max          39.5000000000000     55.4000015258789    12.30000019073490     61.5999984741211     32.5999984741211     58.5999984741211
range        38.6000000238419     47.9000015258789    11.60000020265583     53.1999988555908     26.7999982833862     48.9999980926514
sum      174411.8000875711441 485702.4997119905893 49207.49994570016861 441440.3999967576819 218639.0000538825989 477857.4000329973642
median       10.5000000000000     31.6000003814697     3.00000000000000     27.7999992370606     13.6000003814697     29.7999992370606
mean         11.2046640169325     31.2027816852108     3.16121675097650     28.3592702040831     14.0459334481487     30.6987922416162
SE.mean       0.0361441325504      0.0383357036371     0.00808998404155      0.0731245322847      0.0294764000793      0.0688623527568
CI.mean       0.0708467072218      0.0751424416655     0.01585731045064      0.1433325954713      0.0577771754090      0.1349782274500
var          20.3353962152069     22.8762010143787     1.01876110534189     83.2344719554242     13.5246461440036     73.8143397810824
std.dev       4.5094784859457      4.7829071718338     1.00933696322977      9.1232928241630      3.6775870001950      8.5915272088891
coef.var      0.4024644093862      0.1532846404557     0.31928749046328      0.3217040762512      0.2618257457770      0.2798653165658
                    phlth2017            sleep2017          stroke2017            countyfips           access2018        arthritis2018
nbr.val   15566.0000000000000  15566.0000000000000 15566.0000000000000     15882.00000000000  15882.0000000000000  15882.0000000000000
nbr.null      0.0000000000000      0.0000000000000     0.0000000000000         0.00000000000      0.0000000000000      0.0000000000000
nbr.na      316.0000000000000    316.0000000000000   316.0000000000000         0.00000000000      0.0000000000000      0.0000000000000
min           4.0000000000000     20.8999996185303     0.3000000119209      1073.00000000000      2.5999999046326      2.9000000953674
max          33.5999984741211     58.7000007629395    19.5000000000000     55079.00000000000     60.9000015258789     52.2000007629395
range        29.5999984741211     37.8000011444092    19.1999999880791     54006.00000000000     58.3000016212463     49.3000006675721
sum      202990.2000527381897 585367.6999549868051 51329.1999571323395 441298010.00000000000 294501.6999425888644 349715.6000030041905
